MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7569014553,61,105,57,142,143,112,179,24,59,15,1,10,Challenger,15.20.719.545
EUW1_7568971339,61,97,79,163,65,121,19,24,58,18,1,10,Challenger,15.20.719.545
EUW1_7571171919,42,55,49,187,104,136,179,172,64,4,0,9,Grandmaster,15.20.719.545
EUW1_7571074744,38,126,68,87,115,182,29,49,96,114,1,9,Grandmaster,15.20.719.545
EUW1_7571046525,156,70,129,188,15,0,74,147,58,135,1,9,Grandmaster,15.20.719.545
EUW1_7571004196,5,161,1,32,136,13,100,68,188,4,1,9,Grandmaster,15.20.719.545
EUW1_7570984817,139,116,190,63,104,173,81,188,176,118,1,9,Grandmaster,15.20.719.545
EUW1_7570885499,42,170,186,188,104,5,34,127,27,103,1,9,Grandmaster,15.20.719.545
EUW1_7565457021,42,170,1,64,103,134,186,87,142,20,1,9,Grandmaster,15.20.717.2831
EUW1_7565407368,57,116,40,9,20,0,170,68,142,154,0,9,Grandmaster,15.20.717.2831
EUW1_7565367452,81,102,146,93,15,31,105,142,188,40,1,9,Grandmaster,15.20.717.2831
EUW1_7564820816,125,173,5,188,15,136,52,150,180,146,1,9,Grandmaster,15.20.717.2831
EUW1_7564747835,153,170,2,142,103,113,186,104,59,115,1,9,Grandmaster,15.20.717.2831
EUW1_7564021180,57,108,79,27,104,182,29,1,32,53,1,9,Grandmaster,15.20.717.2831
EUW1_7563993071,57,135,2,58,167,5,108,1,132,154,0,9,Grandmaster,15.20.717.2831
EUW1_7563956292,57,55,26,58,122,172,135,27,87,81,0,9,Grandmaster,15.20.717.2831
EUW1_7562395842,61,110,1,63,144,181,170,13,140,122,0,9,Grandmaster,15.20.717.2831
EUW1_7562268957,128,151,1,63,65,61,146,24,180,114,0,9,Grandmaster,15.20.717.2831
EUW1_7562175631,2,55,146,85,101,13,73,79,183,133,1,9,Grandmaster,15.20.717.2831
EUW1_7560663698,125,170,1,140,143,153,33,51,155,122,0,9,Grandmaster,15.20.717.2831
EUW1_7560623635,23,105,57,27,122,13,100,111,58,99,1,9,Grandmaster,15.20.717.2831
EUW1_7571315331,173,170,79,183,144,125,100,171,66,18,0,9,Grandmaster,15.20.719.545
EUW1_7570225275,0,81,111,22,15,23,114,49,63,103,0,9,Grandmaster,15.20.719.545
EUW1_7570121065,46,191,27,22,15,139,29,180,10,99,0,9,Grandmaster,15.20.719.545
EUW1_7568750670,127,135,129,22,103,112,29,186,63,65,1,9,Grandmaster,15.20.719.545
EUW1_7567617465,139,146,14,27,114,61,116,2,155,122,1,9,Grandmaster,15.20.717.2831
EUW1_7567569613,41,73,75,93,87,43,70,40,163,15,0,9,Grandmaster,15.20.717.2831
EUW1_7567551250,128,29,38,155,4,3,116,66,63,114,1,9,Grandmaster,15.20.717.2831
EUW1_7567086096,71,81,1,63,118,102,105,116,9,99,0,9,Grandmaster,15.20.717.2831
EUW1_7566962160,139,100,65,63,122,42,107,69,155,103,0,9,Grandmaster,15.20.717.2831
EUW1_7566741180,81,169,111,22,99,127,97,33,27,65,0,9,Grandmaster,15.20.717.2831
EUW1_7565912632,27,81,2,58,103,51,186,172,132,143,0,9,Grandmaster,15.20.717.2831
EUW1_7565222947,128,170,150,58,113,179,29,3,22,146,1,9,Grandmaster,15.20.717.2831
EUW1_7571517501,153,47,100,150,101,57,66,172,59,86,1,9,Grandmaster,15.20.719.545
EUW1_7571459219,153,47,111,66,4,24,179,2,32,118,1,9,Grandmaster,15.20.719.545
EUW1_7571402179,153,170,49,32,87,162,81,48,77,86,0,9,Grandmaster,15.20.719.545
EUW1_7571353139,56,170,69,142,105,153,161,186,133,10,0,9,Grandmaster,15.20.719.545
EUW1_7571227108,153,170,181,59,154,5,81,147,9,94,1,9,Grandmaster,15.20.719.545
EUW1_7571172197,173,100,84,49,4,153,55,79,130,122,1,9,Grandmaster,15.20.719.545
EUW1_7571095522,153,135,3,111,122,182,81,40,9,154,0,9,Grandmaster,15.20.719.545
EUW1_7571050757,153,56,57,27,86,88,83,186,85,6,1,9,Grandmaster,15.20.719.545
EUW1_7571030610,5,100,172,27,101,153,161,57,93,122,0,9,Grandmaster,15.20.719.545
EUW1_7570589385,153,29,42,36,15,136,47,39,187,53,1,9,Grandmaster,15.20.719.545
EUW1_7570544715,112,170,42,85,65,153,97,129,22,104,0,9,Grandmaster,15.20.719.545
EUW1_7570502820,153,105,27,36,4,139,31,146,24,86,0,9,Grandmaster,15.20.719.545
EUW1_7570446337,153,116,146,106,122,1,97,48,142,4,0,9,Grandmaster,15.20.719.545
EUW1_7570391447,5,29,1,63,118,153,186,159,27,115,1,9,Grandmaster,15.20.719.545
EUW1_7570355124,153,170,33,140,167,180,105,146,63,103,1,9,Grandmaster,15.20.719.545
EUW1_7570278009,41,150,146,140,15,153,81,7,24,4,1,9,Grandmaster,15.20.719.545
EUW1_7570222352,127,153,117,12,65,138,105,186,93,15,0,9,Grandmaster,15.20.719.545
EUW1_7569552244,153,47,13,59,90,172,97,179,167,15,1,9,Grandmaster,15.20.719.545
EUW1_7569517226,44,29,180,176,161,164,56,146,63,118,0,9,Grandmaster,15.20.719.545
EUW1_7571661676,46,100,127,155,122,61,55,150,27,15,1,9,Grandmaster,15.20.719.545
EUW1_7571387223,128,170,147,155,122,146,81,40,145,113,1,9,Grandmaster,15.20.719.545
EUW1_7571341170,139,108,13,58,143,5,55,26,63,114,1,9,Grandmaster,15.20.719.545
EUW1_7571232605,5,135,79,9,94,172,116,111,183,86,0,9,Grandmaster,15.20.719.545
EUW1_7570522123,0,31,111,176,79,5,173,8,27,118,1,9,Grandmaster,15.20.719.545
EUW1_7570458936,138,116,147,27,37,112,146,14,155,132,0,9,Grandmaster,15.20.719.545
EUW1_7570364462,157,116,40,10,15,28,151,111,160,189,1,9,Grandmaster,15.20.719.545
EUW1_7570216025,38,186,40,22,15,162,146,111,85,34,1,9,Grandmaster,15.20.719.545
EUW1_7570167387,42,186,155,12,15,56,179,68,22,104,1,9,Grandmaster,15.20.719.545
EUW1_7570135555,164,116,13,63,122,139,151,79,155,4,0,9,Grandmaster,15.20.719.545
