TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
163948,KR_8024332419,24,56,268,15,78,2,234,80,236,99,1,0,4,7,35,1,1,2,7,47,1,0
163949,KR_8024209696,223,64,517,236,117,39,19,131,81,267,0,1,3,10,61,3,0,3,8,46,0,1
163950,KR_8014144917,420,876,777,202,25,92,111,112,81,37,0,0,0,1,14,0,0,2,0,14,0,1
163951,KR_8014080727,897,517,133,222,53,223,64,50,202,99,0,0,0,0,14,0,1,3,8,41,1,0
163952,KR_8014056437,897,11,136,901,35,6,56,55,202,43,0,0,0,0,0,0,0,0,0,1,1,0
163953,KR_8013960512,122,887,54,202,43,875,238,61,51,99,1,0,2,10,42,0,1,2,3,22,0,1
163954,KR_8013894118,58,950,81,202,37,39,141,7,18,518,0,0,1,2,28,0,1,2,11,35,1,0
163955,KR_8013798063,41,11,777,81,44,54,33,711,145,117,0,0,0,0,3,0,0,1,1,18,1,0
163956,KR_8013730705,234,5,134,236,267,17,233,3,202,43,1,1,2,7,36,0,0,2,4,19,0,1
163957,KR_8013579797,10,64,9,81,350,74,35,17,360,98,0,0,1,4,25,0,1,2,4,18,0,1
163958,KR_8013534942,74,64,61,222,412,429,517,90,145,526,0,1,2,8,40,0,0,0,3,20,0,1
163959,KR_8013474780,74,517,4,22,117,904,233,136,81,412,2,0,3,10,35,0,1,1,4,38,0,1
163960,KR_8013445652,106,238,103,222,111,74,517,112,81,43,0,0,1,0,1,0,0,0,1,18,1,0
163961,KR_8011817407,36,19,142,119,111,114,54,800,202,43,0,1,2,7,30,0,0,0,1,8,0,1
163962,KR_8011727761,517,150,13,236,99,875,54,4,51,25,2,0,6,14,65,0,1,1,6,44,0,1
163963,KR_8011658469,266,64,157,27,89,6,238,84,523,43,0,1,1,3,37,3,0,4,12,45,1,0
163964,KR_8011605253,887,517,246,202,350,106,234,13,22,117,0,0,1,7,32,0,1,2,3,19,0,1
163965,KR_8011000912,150,17,3,498,43,950,5,136,15,14,0,1,1,3,26,1,0,4,12,38,1,0
163966,KR_8010931955,110,254,11,22,99,9,64,238,15,78,0,1,1,1,17,1,0,4,11,41,1,0
163967,KR_8010847737,150,30,103,81,432,777,36,131,21,25,0,0,0,2,21,0,1,3,10,36,1,0
163968,KR_8019070919,91,110,21,799,711,3,75,518,9,143,0,0,0,1,69,0,0,0,4,69,1,0
163969,KR_8018163208,63,111,157,245,81,74,421,8,64,119,0,0,0,2,69,0,0,0,4,73,1,0
163970,KR_8018112178,412,45,246,164,99,804,516,145,800,101,0,0,0,4,52,0,0,0,0,33,0,1
163971,KR_8017788576,99,10,245,20,101,16,77,21,145,555,0,0,0,1,35,0,0,0,0,25,0,1
163972,KR_8017212297,99,11,3,236,51,35,127,42,68,266,0,0,0,4,66,0,0,0,1,48,0,1
163973,KR_8017174632,222,201,134,67,21,267,51,876,498,24,0,0,0,1,26,0,0,0,4,31,1,0
163974,KR_8017150146,61,22,103,222,126,42,555,26,901,518,0,0,0,1,51,0,0,0,4,44,1,0
163975,KR_8016995704,893,221,236,56,10,200,800,145,102,17,0,0,0,0,5,0,0,0,0,7,1,0
163976,KR_8016978490,147,103,17,11,254,4,101,800,115,166,0,0,0,1,27,0,0,0,0,24,0,1
163977,KR_8016931456,902,42,50,33,76,67,222,800,82,112,0,0,0,4,64,0,0,0,2,44,0,1
163978,KR_8016901530,31,202,53,112,58,50,105,51,200,69,0,0,0,4,58,0,0,0,2,49,0,1
163979,KR_8016683287,77,14,59,54,117,31,4,9,21,89,0,0,0,0,36,0,0,0,1,41,1,0
163980,KR_8016667530,412,51,21,81,234,6,101,910,236,222,0,0,0,4,62,0,0,0,0,43,0,1
163981,KR_8015909631,58,96,84,59,13,67,555,518,266,37,0,0,0,0,33,0,0,0,4,48,1,0
163982,KR_8015885397,222,234,223,516,157,20,412,26,67,7,0,0,0,2,40,0,0,0,0,22,0,1
163983,KR_8015789235,54,910,39,145,5,14,16,45,64,222,0,0,0,1,44,0,0,0,4,56,1,0
163984,KR_8015732159,74,555,517,5,516,7,888,221,134,235,0,0,0,1,40,0,0,0,4,53,1,0
