gameid,league,patch,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,result,red_p1,red_p2,red_p3,red_p4,red_p5
LOLTMNT03_188451,LVP SL,15.01,171,163,175,57,114,1,122,27,181,6,88
LOLTMNT06_95563,PRM,15.01,27,141,14,4,128,1,171,64,19,122,43
LOLTMNT03_189330,LVP SL,15.01,27,175,13,118,128,1,36,90,57,122,40
LOLTMNT03_189341,LVP SL,15.01,169,60,171,4,62,1,131,57,122,49,176
LOLTMNT06_96577,PRM,15.01,170,118,95,147,57,0,178,49,124,10,88
LOLTMNT03_188641,LCK,15.01,141,5,82,188,1,1,128,163,169,124,181
LOLTMNT03_188645,LCK,15.01,60,175,14,187,4,1,57,131,36,171,113
11725-11725_game_1,LPL,15.01,128,131,181,122,36,1,27,178,40,82,13
LOLTMNT03_188655,LCK,15.01,10,170,20,139,190,1,178,64,104,125,40
11725-11725_game_2,LPL,15.01,60,2,175,62,118,0,163,5,80,150,103
LOLTMNT03_188679,LCK,15.01,169,150,5,62,122,1,57,13,113,95,82
11725-11725_game_3,LPL,15.01,107,171,112,22,15,0,56,10,111,113,133
LOLTMNT03_189517,LCK,15.01,60,36,20,105,181,1,128,27,10,90,133
LOLTMNT03_188722,LCK,15.01,64,178,104,44,111,0,56,131,163,146,103
LOLTMNT01_190386,HLL,15.01,112,170,13,59,82,0,38,175,40,62,4
LOLTMNT01_190394,HLL,15.01,171,27,169,118,25,1,163,90,60,177,86
LOLTMNT01_190396,HLL,15.01,163,122,170,188,90,1,169,36,103,147,46
LOLTMNT06_95624,LFL,15.01,27,131,5,111,118,1,128,169,64,150,122
LOLTMNT03_188815,LVP SL,15.01,171,27,170,103,60,1,131,181,118,59,13
LOLTMNT06_95625,PRM,15.01,64,124,60,178,14,0,27,150,122,136,16
LOLTMNT01_189428,HLL,15.01,141,146,59,28,154,0,27,90,122,170,172
LOLTMNT06_96666,NLC,15.01,128,90,181,59,86,0,36,112,24,170,65
LOLTMNT06_96669,LIT,15.01,60,22,175,146,124,0,90,95,170,122,49
LOLTMNT06_96685,LFL,15.01,171,60,90,59,118,1,36,57,82,178,14
LOLTMNT03_188828,LVP SL,15.01,141,14,43,64,124,1,60,59,146,131,86
LOLTMNT06_95658,PRM,15.01,36,128,5,52,82,1,112,58,118,175,2
LOLTMNT06_96689,LIT,15.01,90,27,122,40,170,0,64,171,60,169,4
LOLTMNT06_95660,NLC,15.01,163,175,171,4,5,0,36,170,147,122,56
LOLTMNT03_188838,LVP SL,15.01,171,27,60,118,80,1,131,57,181,122,165
LOLTMNT06_96697,LIT,15.01,36,125,178,14,82,0,170,62,40,60,122
LOLTMNT06_95665,LFL,15.01,169,22,128,103,111,1,64,57,104,178,147
LOLTMNT06_95676,PRM,15.01,107,146,40,148,132,1,90,13,176,103,0
LOLTMNT06_96709,NLC,15.01,27,54,40,118,56,1,163,90,5,122,145
LOLTMNT03_188850,LVP SL,15.01,169,147,128,176,118,1,111,175,36,82,13
LOLTMNT06_96715,LFL,15.01,90,128,27,36,4,1,60,163,178,122,49
LOLTMNT06_95678,NLC,15.01,128,169,36,171,118,1,40,170,163,122,60
LOLTMNT03_188860,PRM,15.01,27,60,2,82,178,1,111,122,163,43,170
LOLTMNT03_188862,LVP SL,15.01,171,175,163,60,122,1,36,181,128,6,4
LOLTMNT06_96717,NLC,15.01,163,169,128,181,122,0,36,175,139,14,20
LOLTMNT03_188863,PRM,15.01,141,112,36,24,34,1,52,57,46,20,10
LOLTMNT03_188864,PRM,15.01,90,95,4,78,107,0,58,175,14,15,5
LOLTMNT03_188931,LCKC,15.01,128,178,171,176,118,1,57,113,2,27,103
LOLTMNT03_189734,LCKC,15.01,163,60,178,124,150,0,171,169,5,62,82
LOLTMNT03_189728,LCKC,15.01,128,169,150,59,103,0,5,131,181,36,122
LOLTMNT03_188945,LCKC,15.01,60,170,150,22,82,0,14,5,107,36,122
LOLTMNT03_188947,LCKC,15.01,10,57,20,14,175,1,60,178,111,27,82
LOLTMNT03_189744,LCKC,15.01,128,80,36,118,14,0,10,170,112,20,49
LOLTMNT03_189753,LCKC,15.01,125,191,58,118,49,0,56,22,87,80,129
LOLTMNT03_189773,LCK,15.01,60,169,13,4,62,1,57,191,82,58,181
LOLTMNT03_189783,LCK,15.01,163,40,178,86,162,0,56,10,14,122,80
11738-11738_game_1,LPL,15.01,60,178,163,118,13,1,57,10,20,169,172
11738-11738_game_2,LPL,15.01,27,105,125,36,4,1,95,191,122,112,142
LOLTMNT03_190012,LCK,15.01,60,90,181,176,114,1,169,13,5,62,103
11738-11738_game_3,LPL,15.01,82,107,111,176,90,1,59,103,5,175,40
LOLTMNT03_190023,LCK,15.01,128,131,27,85,101,0,178,40,14,22,87
11738-11738_game_4,LPL,15.01,131,181,71,76,86,1,43,83,62,134,34
